"","Incident_ID","Incident_date","State","City","Address","No_killed","No_injured","Geo_Address","lon","lat"
"110",170704,2014-08-06,"California","Bakersfield","1700 block of Quincy Street",3,1,"1700 block of Quincy Street, Bakersfield, California",-118.9741484,35.3816327
"111",169326,2014-08-04,"Georgia","Atlanta","1100 block of Joseph E. Boone Boulevard NW",0,5,"1100 block of Joseph E. Boone Boulevard NW, Atlanta, Georgia",-84.4235382,33.7632985
"112",168844,2014-08-03,"Virginia","Culpeper","14458 Rixeyville Rd",5,0,"14458 Rixeyville Rd, Culpeper, Virginia",-77.9923108,38.5001896
"113",168551,2014-08-03,"Texas","Humble","3403 FM 1960",0,7,"3403 FM 1960, Humble, Texas",-95.3758085,30.01948
"114",168786,2014-08-03,"Missouri","Saint Louis","5200 block of Thekla",0,5,"5200 block of Thekla, Saint Louis, Missouri",-90.2433819,38.6904392
"115",169024,2014-08-03,"Tennessee","Columbia","East 9th Street and Bridge Street",0,5,"East 9th Street and Bridge Street, Columbia, Tennessee",-87.0298075,35.611702
"116",167872,2014-08-02,"Texas","Dallas","5125 Wynell Street",3,1,"5125 Wynell Street, Dallas, Texas",-96.7824651,32.6858171
"117",168169,2014-08-02,"Massachusetts","New Bedford","Acushnet Avenue",0,7,"Acushnet Avenue, New Bedford, Massachusetts",-70.9262267,41.6871658
"118",168307,2014-08-02,"Pennsylvania","Pittsburgh","Penn Avenue and 29th Street",1,5,"Penn Avenue and 29th Street, Pittsburgh, Pennsylvania",-79.9741991,40.4578461
"119",167649,2014-08-01,"Pennsylvania","Philadelphia","1500 block of South Etting Street",1,3,"1500 block of South Etting Street, Philadelphia, Pennsylvania",-75.1901392,39.9344576
"120",176329,2014-07-30,"North Carolina","Hope Mills","5109 New Moon Dr",3,4,"5109 New Moon Dr, Hope Mills, North Carolina",-78.9509429,35.0006557
"121",165856,2014-07-28,"Pennsylvania","Philadelphia","4900 block of North Front Street",1,4,"4900 block of North Front Street, Philadelphia, Pennsylvania",-75.1239006,40.0247444
"122",165089,2014-07-27,"Missouri","Saint Louis","2000 block of East John Avenue",0,5,"2000 block of East John Avenue, Saint Louis, Missouri",-90.209797,38.6716819
"123",166970,2014-07-26,"Arkansas","Pine Bluff","Third Ave and Redbud St",1,3,"Third Ave and Redbud St, Pine Bluff, Arkansas",-92.0524289,34.226886
"124",164513,2014-07-26,"Maine","Saco","35 Water Street",5,0,"35 Water Street, Saco, Maine",-70.4487735,43.4979561
"125",163930,2014-07-26,"Georgia","Sylvester","Royal Street",0,8,"Royal Street, Sylvester, Georgia",-83.8221032,31.5306196
"126",163874,2014-07-25,"Illinois","Chicago","700 S California Ave",1,6,"700 S California Ave, Chicago, Illinois",-87.6963138,41.8726035
